FID,HUB,PID,ID,TITLE,MORK1,MORK2,MORK3,MORK4,MORK5,MORK6,WEBLINK,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
1,TSR,P2,TSR_2_1,Emergency care identifying and prioritising action to save fauna species at acute risk of extinction,prioritisation,extinction,imperilled species,Top twenty threatened species,butterflies,vertebrates,https://www.nespthreatenedspecies.edu.au/projects/emergency-care-identifying-and-prioritising-action-to-save-fauna-species-at-acute-risk-of-extinction,694.327232742,251.539402803,9633604352918.08,29770943.7479066
2,TSR,P2,TSR_2_2,Tackling threats to endangered hollow-nesting birds,sugar glider,nest box,orange-bellied parrot,swift parrot,invasive species,forty-spotted pardalote,https://www.nespthreatenedspecies.edu.au/projects/tackling-threats-to-endangered-hollow-nesting-birds,7.07105893821,19.7338030249,117944054460.391,2583583.75655786
3,TSR,P2,TSR_2_3_1,Island-wide spatial conservation planning for Christmas Island,island conservation,spatial planning analysis,distribution model,policy,modelling, ,https://www.nespthreatenedspecies.edu.au/projects/island-wide-spatial-conservation-planning-for-christmas-island,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
4,TSR,P2,TSR_2_3_2,Options beyond captivity for two critically endangered Christmas Island reptiles,island conservation,captive breeding,extinction,Cocos (Keeling) Islands,blue-tailed skink,Lister's gecko,https://www.nespthreatenedspecies.edu.au/projects/options-beyond-captivity-for-two-critically-endangered-christmas-island-reptiles,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
5,TSR,P2,TSR_2_3_3,Optimising the benefts of feral cat contol on Christmas Island,island conservation,feral cat,rat,meso-predator,eradication,bird,https://www.nespthreatenedspecies.edu.au/projects/optimising-the-benefits-of-feral-cat-control-on-christmas-island,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
6,TSR,P2,TSR_2_3_4,Conservation of Christmas Island flying-foxes,island conservation,flying fox,structured decision making,managing threats,decision support tool,expert elicitation,https://www.nespthreatenedspecies.edu.au/projects/conservation-of-the-christmas-island-flying-fox,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
7,TSR,P2,TSR_2_3_5,Combatting an emerging disease threatening endangered Christmas Island reptiles,island conservation,enterococcus,Lister's gecko,blue-tailed skink,disease,captive breeding,https://www.nespthreatenedspecies.edu.au/projects/combatting-an-emerging-disease-threatening-endangered-christmas-island-reptiles,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
8,TSR,P1,TSR_1_1_1,Responses of threatened species to cats and fire management in Kakadu and northern savannas,feral cat,fire management,predator exclosure,dingo,savanna,mammals,https://www.nespthreatenedspecies.edu.au/projects/responses-of-threatened-species-to-cats-and-fire-management-in-kakadu-and-northern-savannas,49.1992937236,31.5489553648,629663669349.824,3553770.95696437
9,TSR,P1,TSR_1_1_4,The role of feral predators in disrupting small vertebrate communities in arid South Australia,community ecology,mammals,predation,refuge,predator control,kowari,https://www.nespthreatenedspecies.edu.au/projects/the-role-of-feral-predators-in-disrupting-small-vertebrate-communities-in-arid-south-australia,7.24371755754,10.7842686668,100871503819.039,1269259.70223698
10,TSR,P1,TSR_1_4_3,Understanding and combating Myrtle Rust,disease,myrtle rust,Myrtaceae,rainforest,database,extinction,https://www.nespthreatenedspecies.edu.au/projects/understanding-and-combatting-myrtle-rust,37.0976800945,61.9576582811,505550068783.434,7374041.41662505
11,TSR,P3,TSR_3_2_4,Ecosystem Accounts for the Victorian Central Highlands,monitoring,environmental accounting,carbon,hollow-bearing trees,water management,leadbeater's possum,https://www.nespthreatenedspecies.edu.au/projects/ecosystem-accounts-in-the-victorian-central-highlands,1.40677090161,7.08230101473,21976140147.0391,874139.74600667
12,TSR,P3,TSR_3_2_5,Arid Zone Monitoring: surveys for vertebrates across arid and semi-arid zones,monitoring,arid zone,Indigenous rangers,distribution model,indigenous knowledge,database,https://www.nespthreatenedspecies.edu.au/projects/arid-zone-monitoring-surveys-for-vertebrates-across-arid-and-semi-arid-zones,219.483005148,77.7911520238,3002889206209.34,8987248.13375643
13,TSR,P3,TSR_3_2_6,Evidence-based management protocols for recovery of multiple threatened woodland birds,woodland birds,decision support tool,monitoring,conservation actions,adaptive management,noisy miner,https://www.nespthreatenedspecies.edu.au/projects/evidence-based-management-protocols-for-recovery-of-multiple-threatened-woodland-birds,32.4110996332,33.5086485794,479713123404.637,4132223.47325543
14,TSR,P3,TSR_3_3_2,Adaptive management for threatened mammals in the Victorian Central Highlands,leadbeater's possum,greater glider,wet ash forests,recovery planning,hollow-bearing trees,adaptive management,https://www.nespthreatenedspecies.edu.au/projects/adaptive-management-for-threatened-mammals-in-the-victorian-central-highlands,0.723404232417,3.48135940083,11308094546.0859,427502.254990774
15,TSR,P3,TSR_3_3_5,Recovering malleefowl with adatpvie management of feral predators,malleefowl,feral predator control,fox,feral cat,citizen science,baiting,https://www.nespthreatenedspecies.edu.au/projects/recovering-malleefowl-with-adaptive-management-of-feral-predators,59.8345633441,56.5797144568,881972384296.035,6741017.56139711
16,TSR,P3,TSR_3_3_6,Adaptive reintroduction strategies for the northern corroboree frog,adaptive management,disease,reintroduction,translocation,frog,chytrid,https://www.nespthreatenedspecies.edu.au/projects/adaptive-reintroduction-strategies-for-the-northern-corroboree-frog,0.956467110932,6.7680198444,14661754648.25,854101.432481261
17,TSR,P4,TSR_4_1_7,Enhancing ecosystem function by reintroductions of digging mammals,restoration,translocation,quenda,ecosystem engineer,bettongs,bioturbation,https://www.nespthreatenedspecies.edu.au/projects/enhancing-ecosystem-function-by-reintroductions-of-digging-mammals,0.357088018119,2.48832581902,5261996651.35156,295963.097609175
18,TSR,P4,TSR_4_4_2,Modelling of biophysical contraints on predators,refuge,feral cat,environmental tolerance,drought,biophysical model, ,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,0.504148947144,2.69880811857,7480335976.01563,337373.618185571
19,TSR,P4,TSR_4_4_4,Climate refuges and causes of distribution limits for antechinus,refuge,climate change,drought,montane rainforest,antechinus,cloud forest,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,0.0971617058718,3.50903844585,1320159854.00977,408430.4586249
20,TSR,P1,TSR_1_1_5,Feral predators in south-east Australia: Towards and beyond the fence strategy,critical weight range mammals,fox,feral cat,density estimation,spatial ecology,baiting,https://www.nespthreatenedspecies.edu.au/projects/feral-predators-in-south-east-australia-towards-a-beyond-the-fence-strategy,0.0628224916873,1.31904749343,930798594.273438,159843.245078455
21,TSR,P1,TSR_1_1_6,Integrated management of feral herbivores and feral predators,camera trap,rabbit control,feral predator control,GPS tracking,feral cat,drought,https://www.nespthreatenedspecies.edu.au/projects/integrated-management-of-feral-herbivores-and-feral-predators,0.0155144581092,0.546779366887,222715489.863281,66618.5407440216
22,TSR,P1,TSR_1_2_2,Adaptive management of endangered Buloke Woodlands,adaptive management,restoration,threatened ecological communities,herbivory,buloke woodlands, ,https://www.nespthreatenedspecies.edu.au/projects/adaptive-management-of-endangered-buloke-woodlands,0.441280563367,4.67063775971,6709049976.61719,566252.634447562
23,TSR,P1,TSR_1_2_3,Supporting alpine peatland recovery by prioritising action on threats,threat management,restoration,threatened ecological communities,alpine peatlands,ecosystem recovery,water quality,https://www.nespthreatenedspecies.edu.au/projects/supporting-alpine-peatland-recovery-by-prioritising-action-on-threats,0.947197214604,37.1173832918,14724838696.0469,4595200.71419478
24,TSR,P1,TSR_1_3_2,Fire and invasive predators,fire management,fox,feral cat,southern brown bandicoot,integrated threat management,decision support tool,https://www.nespthreatenedspecies.edu.au/projects/fire-and-invasive-predators,0.107528778157,15.9457195686,1704962716.48438,1978922.428604
25,TSR,P1,TSR_1_3_3,"Fire, predators and the endangered northern bettong",fire management,northern quoll,northern bettong,feral cat,predator control,habitat management,https://www.nespthreatenedspecies.edu.au/projects/fire-predators-and-the-endangered-northern-bettong,0.0182894118206,1.80096349674,236995006.128906,205302.894791543
26,TSR,P1,TSR_1_4_2,The role of toxoplasmosis in mammal declines,feral cat,Toxoplasmosis,mammals,disease,distribution model, ,https://www.nespthreatenedspecies.edu.au/projects/the-role-of-toxoplasmosis-in-mammal-declines,694.327232742,251.539402803,9633604352918.08,29770943.7479066
27,TSR,P2,TSR_2_3_6,Christmas Island frigatebird: workshop focusing on research and management priorities,recovery planning,GPS tracking,breeding,island conservation,Indonesia,fishing,https://www.nespthreatenedspecies.edu.au/projects/christmas-island-frigatebird-workshop-focusing-on-research-and-management-priorities,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
28,TSR,P2,TSR_2_4,National Action Plan for Australias most imperilled plants,extinction,plants,national action plan,IUCN Red List,critically endangered, ,https://www.nespthreatenedspecies.edu.au/projects/national-action-plan-for-australia-s-most-imperilled-plants,694.327232742,251.539402803,9633604352918.08,29770943.7479066
29,TSR,P3,TSR_3_1,Developing a threatened species index,threatened species index,monitoring,information gap analysis,threatened species strategy,science communication, ,https://www.nespthreatenedspecies.edu.au/projects/developing-a-threatened-species-index,694.327232742,251.539402803,9633604352918.08,29770943.7479066
30,TSR,P3,TSR_3_2_2_1,Using reintroductions to understand causes of mammal declines and extinctions at Booderee National Park,reintroduction,quoll,predator control,bandicoot,monitoring,species recovery,https://www.nespthreatenedspecies.edu.au/projects/using-reintroductions-to-understand-causes-of-mammal-declines-and-extinctions-at-booderee-national-park,0.00709108369786,1.89182448748,106835586.671875,232390.083428423
31,TSR,P3,TSR_3_2_2_3,A tool for evaluating biodiversity monitoring programs in national parks,monitoring,statistical power,surveys,ecological evidence,detectability,mammals,https://www.nespthreatenedspecies.edu.au/projects/a-tool-for-evaluating-biodiversity-monitoring-programs-in-national-parks,2.14794619135,19.0818618763,27320255308.1406,2152476.14444728
32,TSR,P3,TSR_3_3_1,Practical adaptive management to improve threatened species conservation programs,monitoring,adaptive management,management,adaptive monitoring,species recovery, ,https://www.nespthreatenedspecies.edu.au/projects/practical-adaptive-management-to-improve-threatened-species-conservation-programs,694.327232742,251.539402803,9633604352918.08,29770943.7479066
33,TSR,P3,TSR_3_3_7,Mitigating and managing barriers to fish passage and improving river connectivity,fish,cold water pollution,water management,environmental flows,swim performance,freshwater,https://www.nespthreatenedspecies.edu.au/projects/mitigating-and-managing-barriers-to-fish-passage-and-improving-river-connectivity,171.089413517,61.6184750326,2475807254351.12,7465317.00317079
34,TSR,P4,TSR_4_1_2,Reintroductions inside and outside the fences in the ACT,translocation,reintroduction,fenced reserve,ecosystem engineer,predator control,predator exclosure,https://www.nespthreatenedspecies.edu.au/projects/reintroductions-inside-and-outside-fences-in-the-act,0.00210183536881,0.411601998808,31869540.4648438,50608.727524409
35,TSR,P4,TSR_4_1_3,Safe havens for vulnerable mammals,refuge,conservation management,predator exclosure,monitoring,critical weight range mammals,translocation,https://www.nespthreatenedspecies.edu.au/projects/learning-from-mammal-translocations,7.45212616631,23.6863566096,105927406399.746,2841991.42035671
36,TSR,P4,TSR_4_1_5,Decisions for ex situ management of threatened species,captive breeding,decision support tool,management plans,decision tree, , ,https://www.nespthreatenedspecies.edu.au/projects/a-decision-tool-for-evaluating-whether-ex-situ-management-is-appropriate-for-a-threatened-species,0.0468530136826,1.75445798912,730615741.953125,217114.240216212
37,TSR,P5,TSR_5_2,Improving conservation assessments and policy options for poorly known species,plants,data deficient species,policy,taxonomic bias,imperilled species,invertebrates,https://www.nespthreatenedspecies.edu.au/projects/improving-conservation-assessments-and-policy-options-for-poorly-known-species,694.327232742,251.539402803,9633604352918.08,29770943.7479066
38,TSR,P6,TSR_6_1,The economics of threatened species management,benefits,cost models,valuation,non-market value,risk-based decision framework,Benefit Transfer Tools,https://www.nespthreatenedspecies.edu.au/projects/the-economics-of-threatened-species-management,694.327232742,251.539402803,9633604352918.08,29770943.7479066
39,TSR,P6,TSR_6_3_1,Improving communication for threatened species conservation,science communication,public engagement,message framing,conservation opportunities,community engagement,conservation marketing,https://www.nespthreatenedspecies.edu.au/projects/improving-communication-and-community-buy-in-to-threatened-species-conservation,694.327232742,251.539402803,9633604352918.08,29770943.7479066
40,TSR,P6,TSR_6_3_2,Identifying new conservation opportunities,science communication,public engagement,education,conservation opportunities,business,agriculture,https://www.nespthreatenedspecies.edu.au/projects/improving-communication-and-community-buy-in-to-threatened-species-conservation,694.327232742,251.539402803,9633604352918.08,29770943.7479066
41,TSR,P6,TSR_6_3_3,Urban flying-fox roost management,human-wildlife conflict,community values,public engagement,urban ecology,framing, ,https://www.nespthreatenedspecies.edu.au/projects/improving-communication-and-community-buy-in-to-threatened-species-conservation,251.34401045,134.823888761,3522179350329.7,16096787.1252291
42,TSR,P6,TSR_6_3_4,Iconic species in schools,connection to nature,cultural heritage,indigenous knowledge,education,community engagement,stewardship,https://www.nespthreatenedspecies.edu.au/projects/iconic-species-in-schools,1.62616112027,8.35145155881,25544917992.2031,1032995.52046742
43,TSR,P6,TSR_6_3_5,Targeting Australia's highest biodiversity impact behaviours,human behaviour,marketing,conservation messaging,community engagement,conservation psychology, ,https://www.nespthreatenedspecies.edu.au/projects/targeting-australia-s-highest-biodiversity-impact-behaviours,694.327232742,251.539402803,9633604352918.08,29770943.7479066
44,TSR,P1,TSR_1_1_10,Response of the Kangaroo Island Dunnart and other threatened species to a cat eradication program,Kangaroo Island dunnart,monitoring,eradication,mammals,predator control,feral cat,https://www.nespthreatenedspecies.edu.au/projects/response-of-the-kangaroo-island-dunnart-and-other-threatened-species-to-a-cat-eradication-program,0.44232273586,5.57810353587,6760508912.71094,669503.545714954
45,TSR,P1,TSR_1_1_11,Conservation of the Night Parrot,night parrot,feral cat,dingo,meso-predator,carrion,feral predator control,https://www.nespthreatenedspecies.edu.au/projects/impacts-and-management-options-for-introduced-predators,20.3065238999,16.7001200585,274244828301.5,1938987.81862067
46,TSR,P1,TSR_1_1_12,Mitigating cat impacts on the brush-tailed rabbit-rat,brush-tailed rabbit-rat,feral cat,feral predator control,fire management,Tiwi Islands,mammals,https://www.nespthreatenedspecies.edu.au/projects/mitigating-cat-impacts-on-the-brush-tailed-rabbit-rat,0.622457926797,8.46999802301,7873257413.41992,952212.375773848
47,TSR,P1,TSR_1_1_7,Some responses of the threatened Northern Quoll to a large-scale cat baiting program in the Pilbara,baiting,feral cat,northern quoll,predator control, , ,https://www.nespthreatenedspecies.edu.au/projects/some-responses-of-the-threatened-northern-quoll-to-a-large-scale-cat-baiting-program-in-the-pilbara,0.153216265169,1.53869637915,2042556387.4707,178151.223700621
48,TSR,P4,TSR_4_1_11,Re-establishing critical weight range mammals in northern wheatbelt of Western Australia: reintroductions to  safe haven free of introduced predators,refuge,reintroduction,predator exclosure,critical weight range mammals,conservation management,translocation,https://www.nespthreatenedspecies.edu.au/projects/re-establishing-critical-weight-range-mammals-in-the-northern-wheatbelt-of-western-australia-reintroductions-to-a-safe-haven-free-of-introduced-predators,0.123411228207,2.24549332086,1761418944.14063,270541.19678957
49,TSR,P4,TSR_4_2_2,Actions for saving threatened species on priority islands,island conservation,invasive species,feral cat,rat,eradication,decision support tool,https://www.nespthreatenedspecies.edu.au/projects/actions-for-saving-threatened-species-on-priority-islands,0.0758151140521,4.7978904809,1212589070.19141,619752.244793109
50,TSR,P4,TSR_4_2_3,Post eradication monitoring and translocation on islands,island conservation,eradication,invertebrates,monitoring,burrowing petrels,rabbits,https://www.nespthreatenedspecies.edu.au/projects/post-eradication-monitoring-on-macquarie-island,0.0183549139446,2.15120811832,392929861.976563,304802.920509423
51,TSR,P4,TSR_4_2_4,Norfolk Island threatened species conservation,conservation,plants,knowledge gaps,island management,exclusion experiments,invasive species,https://www.nespthreatenedspecies.edu.au/projects/creation-and-analysis-of-a-national-database-of-threatened-species-on-australian-islands,0.00349804702528,0.527568492876,49579826.6835938,62376.1636367694
52,TSR,P4,TSR_4_2_5,Protecting threatened quolls and other biodiversity on Kimberley islands from cane toads,northern quoll,translocation,invasive species,refuge,spatial planning analysis,cane toad,https://www.nespthreatenedspecies.edu.au/projects/protecting-threatened-quolls-and-other-biodiversity-on-kimberley-islands-from-cane-toads,0.129864217087,5.70136529944,1666153797.73828,645620.428339718
53,TSR,P4,TSR_4_4_5,Understanding and prioritising refuges across Australia,refuge,feral cat,fire,database,drought,feral predator,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,694.327232742,251.539402803,9633604352918.08,29770943.7479066
54,TSR,P4,TSR_4_4_7,Threatened bird conservation in Murray-Darling Basin wetland and floodplain habitat?á,wetland,woodland birds,distribution model,drought,floodplain,spatial prioritisation,https://www.nespthreatenedspecies.edu.au/projects/threatened-bird-conservation-in-murray-darling-basin-wetland-and-floodplain-habitat,100.909498685,68.0563421852,1474454851071.44,8232420.54425952
55,TSR,P4,TSR_4_4_10,Modelling species distributions under environmental change,distribution model,climate change,decision support tool,critical habitat, , ,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,694.327232742,251.539402803,9633604352918.08,29770943.7479066
56,TSR,P5,TSR_5_1,Better offsets for threatened species,offsets,malleefowl,night parrot,brigalow reptiles,northern quoll,black-cockatoo,https://www.nespthreatenedspecies.edu.au/projects/better-offsets-for-threatened-species,694.327232742,251.539402803,9633604352918.08,29770943.7479066
57,TSR,P1,TSR_1_2_1,Conservation of box gum grassy woodlands and the threatened species within them,critical habitat,threatened ecological communities,ecosystems,reptiles,woodland birds, ,https://www.nespthreatenedspecies.edu.au/projects/conservation-of-box-gum-grassy-woodlands-and-the-threatened-species-within-them,48.7039302073,57.9131499708,727541303807.398,7109893.45528156
58,TSR,P1,TSR_1_2_1_2,Can culling noisy miners benefit threatened woodland birds?,noisy miner,woodland birds,overabundant native species,box gum grassy woodland,restoration,threatened ecological communities,https://www.nespthreatenedspecies.edu.au/projects/can-culling-noisy-miners-benefit-threatened-woodland-birds,48.7039302073,57.9131499708,727541303807.398,7109893.45528156
59,TSR,P1,TSR_1_2_1_3,Survival and persistence of woodland birds in restoration plantings,woodland birds,temperate woodlands,restoration,monitoring,bird breeding,box gum grassy woodlands,https://www.nespthreatenedspecies.edu.au/https://www.nespthreatenedspecies.edu.au/projects/survival-and-persistence-of-woodland-birds-in-restoration-plantings,48.7039302073,57.9131499708,727541303807.398,7109893.45528156
60,TSR,P1,TSR_1_2_1_4,How bird communities change in relation to vegetation change,woodland birds,temperate woodlands,threatened ecological communities,ecological recovery,restoration,management,https://www.nespthreatenedspecies.edu.au/projects/how-bird-communities-change-in-relation-to-vegetation-change,48.7039302073,57.9131499708,727541303807.398,7109893.45528156
61,TSR,P1,TSR_1_2_1_5,Testing the effectiveness of nest boxes for threatened species,nest box,hollow-bearing trees,farms,arboreal mammals,offsets,temperate woodlands,https://www.nespthreatenedspecies.edu.au/projects/testing-the-effectiveness-of-nest-boxes-for-threatened-species,29.6851329552,39.6505428665,453928680267.199,4851714.31166821
62,TSR,P1,TSR_1_2_1_6,Enhancing critical habitat for the Pink-tailed Worm-lizard in agricultural landscapes,pink-tailed worm-lizard,restoration,box gum grassy woodlands,rocky outcrops,grazing,distribution model,https://www.nespthreatenedspecies.edu.au/projects/enhancing-critical-habitat-for-the-pink-tailed-worm-lizard-in-agricultural-landscapes,15.439765281,43.3663388872,232682639914.02,5279631.3855841
63,TSR,P1,TSR_1_2_1_7,Restoring the endangered Yass Daisy,adaptive management,restoration,box gum grassy woodlands,yass daisy,button wrinklewort,translocation,https://www.nespthreatenedspecies.edu.au/projects/restoring-the-endangered-yass-daisy,3.03188020671,15.9964386996,44911885627.9883,1946150.16592778
64,TSR,P1,TSR_1_2_4,Ecosystem Accounts in Box Gum Grassy Woodlands,ecosystem accounting,policy,box gum grassy woodlands,ecosystem services,natural capital,ecosystem management,https://www.nespthreatenedspecies.edu.au/projects/ecosystem-accounts-in-box-gum-grassy-woodlands,14.012973002,47.3125810608,210850316984.512,5785334.26087084
65,TSR,P6,TSR_6_4,Learning from success and failure in threatened species conservation,recovery planning,governance,conservation research,conservation success,leadership,community engagement,https://www.nespthreatenedspecies.edu.au/projects/learning-from-success-and-failure-in-threatened-species-conservation,694.327232742,251.539402803,9633604352918.08,29770943.7479066
66,TSR,P4,TSR_4_1_1,Safe havens for vulnerable mammals,mammals,fenced reserve,islands,predator exclosure,decision support tool,spatial planning analysis,https://www.nespthreatenedspecies.edu.au/projects/translocation-reintroduction-and-conservation-fencing-for-threatened-fauna,0.723056712348,3.47499559916,11301868391.8984,427032.857623419
67,TSR,P4,TSR_4_4_6,Rocky refuges for mammals,refuge,vertebrates,fire,drought,rock outcrops, ,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,45.7269524708,40.0624304479,610444530278.318,4547826.39436274
68,TSR,P4,TSR_4_4_8,"Mapping distributions, threats and opportunities to conserve the greater glider",greater glider,biophysical model,population viability analysis,distribution model,climate change,forest change model,https://www.nespthreatenedspecies.edu.au/projects/mapping-distributions-threats-and-opportunities-to-conserve-the-greater-glider,0.662479005448,3.23962011831,10292071871.2031,406859.809498837
69,TSR,P5,TSR_5_1_1,Strategic Planning for the Far Eastern Curlew,migratory shorebirds,offsets,coastal planning,port development,intertidal,traditional owners,https://www.nespthreatenedspecies.edu.au/projects/strategic-planning-for-the-far-eastern-curlew,0.104855474768,1.33169937676,1331094618.11133,149853.994958332
70,TSR,P3,TSR_3_2_3_1,Using drones for biodiversity monitoring,monitoring,drones,Lumholtz tree kangaroo,detectability,thermal camera,occupany model,https://www.nespthreatenedspecies.edu.au/projects/using-drones-for-biodiversity-monitoring,0.0999108732493,1.18108766827,1297517036.42188,134617.89446639
71,TSR,P3,TSR_3_2_3_2,Thermal imaging cameras for biodiversity monitoring,thermal camera,monitoring,population estimation,conservation technology,Lumholtz tree kangaroo,detectability,https://www.nespthreatenedspecies.edu.au/projects/thermal-imaging-for-biodiversity-monitoring,0.669060615704,7.1962659974,9540005920.25781,857937.542772966
