FID,HUB,PID,ID,TITLE,MORK1,MORK2,MORK3,MORK4,MORK5,MORK6,WEBLINK,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
72,TSR,P4,TSR_4_1_4_1,Assisted colonisation of Australia's rarest reptile: The western swamp turtle,translocation,climate change,freshwater,assisted colonisation,drought,reptiles,https://www.nespthreatenedspecies.edu.au/projects/assisted-colonisation-of-australia-s-rarest-reptile-the-western-swamp-turtle,29.6537256725,27.8664111989,431989509790.738,3376121.17484913
73,TSR,P4,TSR_4_1_4_2,Optimising the timing for assiting the colonisation of threatened montane frogs,alpine,assisted colonisation,climate change,amphibians,modelling,decision support tool,https://www.nespthreatenedspecies.edu.au/projects/optimising-the-timing-for-assisting-the-colonisation-of-threatened-montane-frogs,4.58267352284,15.6878953156,71021582952,1919727.11271558
74,TSR,P4,TSR_4_1_4_3,Improving conservation outcomes for critically endangered white-bellied frog,translocation,reintroduction,amphibians,drought,captive breeding,frogs,https://www.nespthreatenedspecies.edu.au/projects/improving-conservation-outcomes-for-critically-endangered-white-bellied-frogs,0.00960371776935,0.374573698556,143462142.609375,45340.9813245696
75,TSR,P1,TSR_1_1_8,Livestock guardian dogs to protect threatened species and restore habitat,critical weight range mammals,livestock guardian dog,non-lethal control,reintroduction,invasive predator,invasive herbivore,https://www.nespthreatenedspecies.edu.au/projects/livestock-guardian-dogs-to-protect-threatened-species-and-restore-habitat,0.197067087502,2.80492778183,3068168675.32422,360454.838579735
76,TSR,P1,TSR_1_3_5,Managing fire to recover monsoon vine thickets on the Dampier Peninsula,remote sensing,vine thickets,fire management,rainforest,recovery planning,Indigenous rangers,https://www.nespthreatenedspecies.edu.au/projects/managing-fire-to-recover-monsoon-vine-thickets-on-the-dampier-peninsula,0.264366953113,4.4262987147,3427265732.77148,508527.559598736
77,TSR,P4,TSR_4_1_12,Reintroduction plan to rescue the northern eastern bristlebird,reintroduction,management plans,captive breeding,monitoring,fire management,eastern bristlebird,https://www.nespthreatenedspecies.edu.au/projects/reintroduction-plan-to-rescue-the-northern-eastern-bristlebird,0.150495733572,2.3230687641,2117434606.78906,270911.408716519
78,TSR,P6,TSR_6_2,Indigenous action in threatened species research and management,adaptive co-management,knowledge sharing,Indigenous rangers,joint management,IUCN Green List,culturally significant species,https://www.nespthreatenedspecies.edu.au/projects/indigenous-action-in-threatened-species-research-and-management,2.81151110208,14.6308383555,35729686477.166,1650461.24519953
79,TSR,P6,TSR_6_5,Citizen science for threatened species conservation and building community support,western ringtail possum,conservation actions,citizen science,monitoring,community engagement,urban ecology,https://www.nespthreatenedspecies.edu.au/projects/citizen-science-for-threatened-species-conservation-and-building-community-support,3.69948676556,10.8722685705,55207815805.6641,1333436.44568539
80,TSR,P1,TSR_1_1_3,Feral cat control for threatened species in Queensland,feral predator control,feral cat,greater bilby,predation,baiting,bridled nailtail wallaby,https://www.nespthreatenedspecies.edu.au/projects/feral-cat-control-for-threatened-species-in-queensland,0.0104727503093,0.53936856174,141551302.332031,62429.4044938995
81,TSR,P1,TSR_1_3_1,Fire and native flora,fire management,plants,Pomaderris,Boronia,fire,modelling,https://www.nespthreatenedspecies.edu.au/projects/fire-and-native-flora,0.207875879855,5.62214185241,3048418648.12109,679880.140636285
82,TSR,P1,TSR_1_4_1,Mitigating threats to Australian frogs,fire,frog,distribution model,chytrid,amphibians,disease,https://www.nespthreatenedspecies.edu.au/projects/saving-threatened-frogs-with-refuges-from-disease-fish-predation-and-fragmentation,24.9091159616,48.5999752154,373973354493.543,6065454.51710771
83,TSR,P2,TSR_2_3,Enhancing threatened species outcomes on Christmas Island,translocation,island,reptile,feral predator control,flying fox,disease,https://www.nespthreatenedspecies.edu.au/projects/enhancing-threatened-species-outcomes-for-christmas-island,0.011950966697,0.665417820261,150611952.820313,74726.565365167
84,TSR,P2,TSR_2_6,Essential research to secure the buff-breasted button quail,button-quail,threatening process,predator,distribution,critical habitat, ,https://www.nespthreatenedspecies.edu.au/projects/essential-research-to-secure-the-buff-breasted-button-quail,16.3056596074,22.5706964397,208679632543.172,2561216.78469531
85,TSR,P3,TSR_3_2_8,Monitoring bogong moth population change,climate change,bogong moth,mountain pygmy possum,migration,monitoring,managing threats,https://www.nespthreatenedspecies.edu.au/projects/monitoring-bogong-moth-population-change,1.79357394293,21.4549301151,27669171601.2109,2685293.17313174
86,TSR,P4,TSR_4_2_3_4,Detecting cryptic burrowing petrel recovery post-eradication in a remote landscape,eDNA,burrowing petrel,genetics,seabirds,feral predator,monitoring,https://www.nespthreatenedspecies.edu.au/projects/post-eradication-monitoring-on-macquarie-island,0.01832061348,0.840483597484,392203121.328125,136849.801819836
87,TSR,P7,TSR_7_2,Conservation actions for Threatened Ecological Communities, ,state and transition models,recovery planning,threatened ecological communities,expert elicitation,conservation actions,https://www.nespthreatenedspecies.edu.au/projects/conservation-actions-for-threatened-ecological-communities,433.42260536,128.645062321,6149097620101.81,15163711.144159
88,TSR,P7,TSR_7_9,Integrated Enviromental Assessment,integrated environmental assessment,planning,decision making,MNES,development,de-risking investment,https://www.nespthreatenedspecies.edu.au/projects/integrated-environmental-assessment-to-inform-environmental-decisions,377.757278458,119.001278111,5009564531324.71,13575178.0691271
89,TSR,P2,TSR_2_4_1,Development of a national action plan for Australian eucalypts,plants,national action plan,critically endangered,IUCN Red List,threats,extinction,https://www.nespthreatenedspecies.edu.au/projects/developing-a-national-action-plan-for-australian-eucalypts,695.683407364,430.392180242,9653588777038.91,50703538.9531022
90,TSR,P6,TSR_6_6,Key factors for effective partner integration and governance for threatened species recovery,trust building,partnership,recovery planning,collaboration,governance,co-investment,https://www.nespthreatenedspecies.edu.au/projects/key-factors-for-effective-partnering-for-threatened-species-recovery,695.683407364,430.392180242,9653588777038.91,50703538.9531022
91,TSR,P7,TSR_7_1,Methods for measuring uptake and outcomes from environmental research,framework,partnership,research impact,outcomes assessment,monitoring,research uptake,https://www.nespthreatenedspecies.edu.au/projects/methods-for-measuring-uptake-and-outcomes-from-environmental-research,694.327232742,251.539402803,9633604352918.08,29770943.7479066
92,TSR,P7,TSR_7_3,Assessing biodiversity and cultural values for single-site and multi-property development proposals in northern Australia, ,strategic assessment,cultural values,environmental impact assessment,offsets,policy,https://www.nespthreatenedspecies.edu.au/projects/assessing-biodiversity-and-cultural-values-for-single-site-and-multi-property-development-proposals-in-northern-australia,695.683407364,430.392180242,9653588777038.91,50703538.9531022
93,TSR,P7,TSR_7_5,"National monitoring priorities, process and prospectus for threatened species",surveys,monitoring,recovery process,prioritisation,cost models,sampling methods,https://www.nespthreatenedspecies.edu.au/projects/national-monitoring-priorities-process-and-prospectus-for-threatened-species,694.327232742,251.539402803,9633604352918.08,29770943.7479066
94,TSR,P7,TSR_7_6,Managing impacts of feral and over-abundant herbivores on threatened species and ecological communities,cultural values,feral herbivore,native herbivore,threat abatement,invasive species,threatened ecological communities,https://www.nespthreatenedspecies.edu.au/projects/managing-impacts-of-feral-and-over-abundant-herbivores-on-threatened-species-and-ecological-communities,1.80062100874,4.89161706051,27159983420.5586,601716.21635676
95,TSR,P7,TSR_7_7,"Overlaying threat, threatened species ranges, threat mitigation and conservation options - a knowledge synthesis to inform a national approach to fighting extinction",co-benefit,threat mitigation,synthesis,cost models,managing threats,recovery,https://www.nespthreatenedspecies.edu.au/projects/a-knowledge-synthesis-to-inform-a-national-approach-to-fighting-extinction,694.327232742,251.539402803,9633604352918.08,29770943.7479066
96,TSR,P7,TSR_7_8,Translating research findings on offsets and strategic planning to underpin continuous improvement in policy and practice,synthesis,decision making,capacity building,educational videos,offsets,policy,https://www.nespthreatenedspecies.edu.au/projects/translating-research-findings-on-offsets-and-strategic-assessment-to-practice-and-policy,695.683407364,430.392180242,9653588777038.91,50703538.9531022
97,TSR,P7,TSR_7_10,Conservation decision making for island management: lessons learned,feral predator,decision making,invasive species,eradication,management,island conservation,https://www.nespthreatenedspecies.edu.au/projects/informing-island-eradications-lessons-learned,694.327232742,251.539402803,9633604352918.08,29770943.7479066
98,TSR,P1,TSR_1_4_4,Guidelines on how to treat Australian wildlife with sarcoptic mange,disease,sarcoptic mange,wombat,guidelines,treatment,mammals,https://www.nespthreatenedspecies.edu.au/projects/guidelines-on-how-to-treat-australian-wildlife-with-sarcoptic-mange,695.683407364,430.392180242,9653588777038.91,50703538.9531022
99,TSR,P7,TSR_7_4,Cat impacts and management: knowledge exchange for stakeholders,cat,local government,management,communication,managing threats,feral predator,https://www.nespthreatenedspecies.edu.au/projects/cat-impacts-and-management-knowledge-exchange-for-stakeholders,695.683407364,430.392180242,9653588777038.91,50703538.9531022
100,TSR,P1,TSR_1_2_5,Coordinated recovery planning for threatened woodlands,recovery planning,eucalypt woodlands,threatened ecological communities,state and transition models,expert elicitation,management,https://www.nespthreatenedspecies.edu.au/projects/coordinated-recovery-planning-for-threatened-woodlands,124.085366754,124.659581564,1843577066013.46,15110652.5812765
101,TSR,P1,TSR_1_1_2,"Feral cat distribution, abundance, management and impacts on threatened species: collation and analysis of data",feral cat,fox,dingo,predation,predator control,modelling,https://www.nespthreatenedspecies.edu.au/projects/feral-cat-distribution-abundance-management-and-impacts-on-threatened-species-collation-and-analysis-of-data,8.5854291545,11.7234660538,119896219339.219,1386510.73054325
102,TSR,P2,TSR_2_3_5,Combatting an emerging disease threatening endangered Christmas Island reptiles,island conservation,enterococcus,Lister's gecko,blue-tailed skink,disease,captive breeding,https://www.nespthreatenedspecies.edu.au/projects/combatting-an-emerging-disease-threatening-endangered-christmas-island-reptiles,0.0112426045953,0.689028028992,141684623.880859,77360.665728362
103,TSR0,P3,TSR_3_2_7,Manging jilas on Ngurrara country,waterhole,desert,feral predator,fire management,feral herbivore,monitoring,https://www.nespthreatenedspecies.edu.au/projects/managing-jila-on-ngurrara-country,8.60556521496,15.9669811717,113549529615.885,1834372.60286076
104,TSR,P8,TSR_8_5_1,Improving rapid busfire response for conservation of threatened species and communities,fire,recovery,planning,risk management,fire management, ,https://www.nespthreatenedspecies.edu.au/projects/protecting-threatened-species-and-communities-during-wildfires-learning-from-the-2019-20-fires,7.39259633607,209.163258302,110352194878.695,25285973.1212902
105,TSR,P8,TSR_8_4_2,"Fire-related risks to, and conservation strategies for, ecological communities",rainforest,peatland,post-fire,World Heritage,threatened ecological communities, ,https://www.nespthreatenedspecies.edu.au/projects/fire-related-risks-to-and-conservation-strategies-for-ecological-communities,34.8174605591,3123.48323302,469438409069.725,357761183.131009
106,TSR,P8,TSR_8_4_1,Post-fire changes in feral cat density across Kangaroo Island,feral cat,feral predator,post-fire,recovery,possum,mammals,https://www.nespthreatenedspecies.edu.au/projects/post-fire-changes-in-feral-cat-density-across-kangaroo-island,0.463344706837,4.61585971261,7081918498.31641,545464.154235853
107,TSR,P8,TSR_8_3_8,Survival and recovery of threatened animal species in fire-affected Gondwana Rainforests,rainforest,mammals,reptiles,frog,fire,World Heritage,https://www.nespthreatenedspecies.edu.au/projects/survival-and-recovery-of-threatened-animal-species-in-fire-affected-world-heritage-areas-gondwana-rainforests-focus,0.0714197588562,9.07477415017,1005231630.28906,1073888.93033869
108,TSR,P8,TSR_8_3_5,Fire and rust: The impact of myrtle rust on fire regeneration,myrtle rust,World Heritage,rainforest,disease,post-fire,impact assessment,https://www.nespthreatenedspecies.edu.au/projects/fire-and-rust-the-impact-of-myrtle-rust-on-fire-regeneration,10.7554022142,24.2263237674,153861089889.242,3029559.21503046
109,TSR,P8,TSR_8_3_4,Estimating wildlife mortality during bushfire,post-fire,survival,vertebrates,modelling,recovery, ,https://www.nespthreatenedspecies.edu.au/projects/estimating-wildlife-mortality-during-bushfire,33.1271277665,2886.47484613,446113294351.955,330163042.742875
110,TSR,P8,TSR_8_4_5,Better managing fires and their impacts for koala conservation,koala,post-fire,recovery plan,fire management,threat management, ,https://www.nespthreatenedspecies.edu.au/projects/better-managing-fires-and-their-impacts-for-koala-conservation,157.747054533,254.898208628,2220343711071.77,29835655.6342834
111,TSR,P8,TSR_8_4_4,Review of faunal responses to fire-associated management actions,post-fire,recovery,fire management,fire,woodland birds,fauna,https://www.nespthreatenedspecies.edu.au/projects/review-of-faunal-responses-to-fire-associated-management-actions,694.327232743,251.539402802,9633604352921.16,29770943.7478704
112,TSR,P8,TSR_8_4_3,Managing the impacts of feral herbivores following regional-scale wildlife,post-fire,threatened ecological communities,MNES,feral herbivore,threate abatement, ,https://www.nespthreatenedspecies.edu.au/projects/managing-the-impacts-of-feral-herbivores-following-regional-scale-wildfire,16.4491893248,872.169025997,227392526961.932,100730920.892354
113,TSR,P8,TSR_8_3_7,Impacts of post-fire ash and run-off sediment on Australian freshwater aquatic fauna,crayfish,post-fire,physiology,fish,amphibians,ash sediment,https://www.nespthreatenedspecies.edu.au/projects/impacts-of-post-fire-ash-and-run-off-sediment-on-the-physiological-tolerances-of-australian-freshwater-aquatic-fauna,344.360492668,253.462553712,4856819902727.83,29999356.3374055
114,TSR,P8,TSR_8_3_6,Collation of summary of 2019-20 bushfire impacts and emergency responses of freshwater fish,post-fire,fish,aquatic fauna,impact assessment,fire suppression,sediment,https://www.nespthreatenedspecies.edu.au/research,16.4491893248,872.169025997,227392526961.932,100730920.892354
115,TSR,P8,TSR_8_3_3,Genetic assessment of priority taxa and management priorities,genetics,taxonomy,fire impact,risk assessment,vertebrates,conservation strategy,https://www.nespthreatenedspecies.edu.au/projects/genetic-assessment-of-priority-taxa-and-management-priorities,7.89653489203,256.074158118,117896503458.039,30998676.793695
116,TSR,P8,TSR_8_3_2,Effect of fire severity on the response of populations of priority wildlife species,impact assessment,vertebrates,managing threats,post-fire recovery,spiny crayfish,distribution map,https://www.nespthreatenedspecies.edu.au/projects/population-responses-to-fires-of-varying-severity-for-priority-vertebrate-and-spiny-crayfish-species-and-the-extent-to-which-management-actions-support-recovery,10.03272332,441.792109746,148738030105.633,53244396.0692248
117,TSR,P8,TSR_8_3_1,Fire-affected invertebrates: priority species and management response,invertebrates,post-fire,recovery,management,threat assessment,monitoring,https://www.nespthreatenedspecies.edu.au/projects/fire-affected-invertebrates-priority-species-and-management-response,20.0313635236,1177.13845493,279322733417.838,137234191.099713
118,TSR,P8,TSR_8_2_1,Indigenous aspirations and capacity for bushfire response,cultural burning,culturally significant species,Indigenous knowledge,post-fire,fire management,Indigenous leadership,https://www.nespthreatenedspecies.edu.au/projects/indigenous-aspirations-and-capacity-for-bushfire-response,0.745062343305,57.9585907897,10842367291.8086,6905260.98313909
119,TSR,P8,TSR_8_1_3,Post-fire impact assessment for priority frogs,frog,post-fire,monitoring,impact assessment,recovery,on-ground management,https://www.nespthreatenedspecies.edu.au/projects/post-fire-impact-assessment-for-priority-frogs,16.5002397081,878.462141835,228241170988.143,101533561.68383
120,TSR,P8,TSR_8_1_1,"Designing rapid on-ground reconnaissance surveys for post natural disaster (fire) to assess the status of species, ecological communities, habitats and threats",post-fire,surveys,prioritisation,vertebrates,monitoring, ,https://www.nespthreatenedspecies.edu.au/projects/designing-rapid-on-ground-reconnaissance-surveys-for-post-natural-disaster-fire-to-assess-the-status-of-species-ecological-communities-habitats-and-threats,25.7238124564,1949.90609847,353041800862.719,225134973.887808
121,TSR,P8,TSR_8_1_2,"Design for postfire impact monitoring, including synthesis of current monitoring projects",post-fire,monitoring,vertebrates,recovery,management,surveys,https://www.nespthreatenedspecies.edu.au/projects/design-for-post-fire-impact-monitoring-including-synthesis-of-current-monitoring-projects,25.7748628397,1956.1992143,353890444888.922,225937614.679164
122,TSR,P2,TSR_2_5,Securing the Night Parrot,night parrot,fire regime,feral predator,citizen science,acoustic monitoring, ,https://www.nespthreatenedspecies.edu.au/projects/conservation-of-the-night-parrot,20.3065238647,16.7001200436,274244827844.594,1938987.81692293
123,TSR,P4,TSR_4_1_8,Understanding genomic variation in the western ringtail possum for adaptive conservation,genetic management,population viability analysis,genetics,management plans,western ringtail possum, ,https://www.nespthreatenedspecies.edu.au/projects/understanding-genomic-variation-in-the-western-ringtail-possum-for-adaptive-conservation,1.34817960708,9.08169199449,20196255081.1719,1108880.06399675
124,TSR,P1,TSR_1_3_4,Pirra Jungku (Warlu) - Contrasting the outcomes of contemporary and traditional fire management approaches in the desert,fire management,monitoring,desert,traditional ecological knowledge,cultural burning, ,https://www.nespthreatenedspecies.edu.au/projects/pirra-jungku-contemporary-and-traditional-fire-management-approaches-in-the-desert,2.22086542507,9.43872881033,29142936408.4004,1078443.69008124
125,TSR,P2,TSR_2_2_1,Saving the orange-bellied parrot,hollow nesting bird,nest box,predation,Tasmania,sugar glider, ,https://www.nespthreatenedspecies.edu.au/projects/saving-the-orange-bellied-parrot,7.44656132182,61.8058355123,124089824065.43,7940675.43978272
126,TSR,P2,TSR_2_2_2,Saving the swift parrot,hollow nesting bird,nest box,predation,Tasmania,sugar glider,parasite,https://www.nespthreatenedspecies.edu.au/projects/saving-the-swift-parrot,7.44656132182,61.8058355123,124089824065.43,7940675.43978272
127,TSR,P2,TSR_2_2_3,Conservation and management of the endangered forty-spotted pardalote,hollow nesting bird,nest box,predation,Tasmania,disease,parasite,https://www.nespthreatenedspecies.edu.au/projects/conservation-and-management-of-the-endangered-forty-spotted-pardalote,7.44656130879,61.805835585,124089823828.586,7940675.44845158
128,TSR,P3,TSR_3_2_1,Improving threatened species monitoring,monitoring,adaptive management,ecological evidence,ecological recovery,adaptive monitoring,management,https://www.nespthreatenedspecies.edu.au/projects/improving-threatened-species-monitoring,694.327231582,251.539402628,9633604336782.68,29770943.7263503
129,TSR,P4,TSR_4_1_6_3,Practitioner’s guide for genetic management of translocated fauna,genetic management,reintroduction,translocation,genetic mixing,decision support tool,management plans,https://www.nespthreatenedspecies.edu.au/projects/genetic-rescue-of-mountain-pygmy-possums-and-eastern-barred-bandicoots-understanding-the-genomic-consequences-of-genetic-rescue,694.327231582,251.539402628,9633604336782.68,29770943.7263503
130,TSR,P4,TSR_4_3,Threatened plant translocations,plants,restoration,recovery planning,synthesis,database,management plans,https://www.nespthreatenedspecies.edu.au/projects/threatened-plant-translocations,694.327231582,251.539402628,9633604336782.68,29770943.7263503
131,TSR,P4,TSR_4_4_1,Soil moisture for vulunerable threatened species,physiological tolerance,microhabitat,heat stress,refuge,feral cat,drought,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,695.683406199,430.392179948,9653588760838.61,50703538.91736
132,TSR,P4,TSR_4_4_3,Using biophysical models to identify species refuges in responses to climate change,refuge,flying fox,amphibians,chytrid,heat-stress,environmental tolerance,https://www.nespthreatenedspecies.edu.au/projects/identifying-and-managing-refuges-from-threats,695.683406199,430.392179948,9653588760838.61,50703538.91736
133,TSR,P6,TSR_6_3_6,Prioritising conservation efforts and communicating conservation opportunities in urban areas,urban ecology,community engagement,local government,recovery planning,public engagement, ,https://www.nespthreatenedspecies.edu.au/projects/prioritising-conservation-efforts-and-communicating-conservation-opportunities-in-urban-areas,694.327231582,251.539402628,9633604336782.68,29770943.7263503
134,TSR,P3,TSR_3_2_2_4,Bioacoustic monitoring of breeding in glossy and red-tailed black-cockatoos,monitoring,bioacoustics,woodland birds,conservation technology,species recovery,call recognition,https://www.nespthreatenedspecies.edu.au/projects/bioacoustic-monitoring-of-breeding-in-glossy-and-red-tailed-black-cockatoos,5.70153494526,15.3858817557,89103745707.0547,1861289.81460955
135,TSR,P4,TSR_4_2_1,A national data base of threatened and invasive species on Australian Islands,island conservation,islands database,invasive species,species interactions,spatial mapping,prioritisation,https://www.nespthreatenedspecies.edu.au/projects/creation-and-analysis-of-a-national-database-of-threatened-species-on-australian-islands,2.47947454952,122.70321907,34218801689.043,14393233.7351782
136,TSR,P4,TSR_4_4_12,A national approach to the integration of koala spatial data to inform conservation planning,koala,distribution model,climate change,recovery plan,on-ground management,national recovery plan,https://www.nespthreatenedspecies.edu.au/projects/a-national-approach-to-the-integration-of-koala-spatial-data-to-inform-conservation-planning,157.747054533,254.898208629,2220343711071.84,29835655.6343625
137,TSR,P4,TSR_4_4_11,Using detection dog techniques to conserve Queensland's endangered montane species,black-tailed dusky antechinus,silver-headed antechinus,Bulburin macademia nut,detection dogs,Bulburin ringtailed gecko,montane rainforest,https://www.nespthreatenedspecies.edu.au/projects/using-detection-dog-techniques-to-conserve-queensland-s-endangered-montane-species,0.0103810619091,0.719101221153,146484621.695313,84664.9078805414
138,TSR,P3,TSR_3_2_2_2,Monitoring threatened species on Indigenous lands: Bilbies in the Martu Determination,monitoring,Indigenous knowledge,Indigenous rangers,greater bilby,fire management,distribution model,https://www.nespthreatenedspecies.edu.au/projects/monitoring-threatened-species-on-indigenous-lands-bilbies-in-the-martu-determination,12.2823708895,23.4411793314,164863578447.943,2688280.44245983
139,TSR,P3,TSR_4_1_6_2,Genetic management and population modelling of translocated fauna,mammals,genetics,population viability analysis,decision support tools,translocation,drought,https://www.nespthreatenedspecies.edu.au/projects/genetic-management-and-population-modelling-of-translocated-fauna,0.476187997768,6.3005899334,6754675263.58984,752884.030471169
140,TSR,P4,TSR_4_1_6_1,Can assisted gene flow increase the resilience of terrestrial-breeding frogs to a drying climate?,reproduction,frogs,climate change,assisted gene flow,drought,local adaptation,https://www.nespthreatenedspecies.edu.au/projects/can-assisted-gene-flow-increase-the-resilience-of-terrestrial-breeding-frogs-to-a-drying-climate,21.7160847548,27.4164420968,317610669868.109,3283827.35586962
141,TSR,P4,TSR_4_1_9,Genetic analysis of the Norfolk Island morepork and green parrot, ,morepork,green parrot,genetics,species recovery,island conservation,https://www.nespthreatenedspecies.edu.au/projects/genetic-analysis-of-the-norfolk-island-morepork-and-green-parrot,0.00341628909106,0.281617959499,48418917.0820313,33327.3293768547
